GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.irurueta:irurueta-server-commons-geolocation,com.irurueta.server.commons.geolocation,GeolocationConfigurationFactory,0,50,0,6,0,14,0,8,0,5
com.irurueta:irurueta-server-commons-geolocation,com.irurueta.server.commons.geolocation,IPGeolocationLevel,5,74,0,8,0,13,1,9,1,5
com.irurueta:irurueta-server-commons-geolocation,com.irurueta.server.commons.geolocation,IPGeolocationDisabledException,0,16,0,0,0,8,0,4,0,4
com.irurueta:irurueta-server-commons-geolocation,com.irurueta.server.commons.geolocation,GeolocationException,0,16,0,0,0,8,0,4,0,4
com.irurueta:irurueta-server-commons-geolocation,com.irurueta.server.commons.geolocation,BuildInfo,39,113,6,4,4,30,4,11,0,10
com.irurueta:irurueta-server-commons-geolocation,com.irurueta.server.commons.geolocation,IPGeolocator.new Object() {...},2,17,0,0,0,1,0,1,0,1
com.irurueta:irurueta-server-commons-geolocation,com.irurueta.server.commons.geolocation,IPLocation,0,160,0,16,0,43,0,33,0,25
com.irurueta:irurueta-server-commons-geolocation,com.irurueta.server.commons.geolocation,IPGeolocator,91,596,57,72,19,151,51,34,1,19
com.irurueta:irurueta-server-commons-geolocation,com.irurueta.server.commons.geolocation,IPLocationNotFoundException,0,16,0,0,0,8,0,4,0,4
com.irurueta:irurueta-server-commons-geolocation,com.irurueta.server.commons.geolocation,GeolocationConfigurationImpl,6,188,4,4,2,45,4,12,0,12
